"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CPI","TOT","AGRWTH","M","2019-10",1.132075,
"AUT","CPI","TOT","AGRWTH","M","2019-11",1.129943,
"AUT","CPI","TOT","AGRWTH","M","2019-12",1.693321,
"AUT","CPI","TOT","AGRWTH","M","2020-01",1.990521,
"AUT","CPI","TOT","AGRWTH","M","2020-02",2.093024,
"AUT","CPI","TOT","AGRWTH","M","2020-03",1.534364,
"AUT","CPI","TOT","AGRWTH","M","2020-04",1.439026,
"AUT","CPI","TOT","AGRWTH","M","2020-05",0.6407859,
"AUT","CPI","TOT","AGRWTH","M","2020-06",1.05283,
"AUT","CPI","TOT","AGRWTH","M","2020-07",1.636,
"AUT","CPI","TOT","AGRWTH","M","2020-08",1.337486,
"AUT","CPI","TOT","AGRWTH","M","2020-09",1.26821,
"AUT","CPI","TOT","AGRWTH","M","2020-10",1.281032,
"AUT","CPI","TOT","AGRWTH","M","2020-11",1.193116,
"AUT","CPI","TOT","AGRWTH","M","2020-12",1.138068,
"AUT","CPI","TOT","AGRWTH","M","2021-01",0.8040201,
"AUT","CPI","TOT","AGRWTH","M","2021-02",1.204819,
"AUT","CPI","TOT","AGRWTH","M","2021-03",2.002002,
"AUT","CPI","TOT","AGRWTH","M","2021-04",1.901902,
"AUT","CPI","TOT","AGRWTH","M","2021-05",2.819738,
"AUT","CPI","TOT","AGRWTH","M","2021-06",2.805611,
"AUT","CPI","TOT","AGRWTH","M","2021-07",2.9,
"AUT","CPI","TOT","AGRWTH","M","2021-08",3.206413,
"AUT","CPI","TOT","AGRWTH","M","2021-09",3.293413,
"AUT","CPI","TOT","AGRWTH","M","2021-10",3.685259,
"AUT","CPI","TOT","AGRWTH","M","2021-11",4.278607,
"AUT","CPI","TOT","AGRWTH","M","2021-12",4.253215,
"AUT","CPI","TOT","AGRWTH","M","2022-01",4.985045,
"AUT","CPI","TOT","AGRWTH","M","2022-02",5.753968,
"AUT","CPI","TOT","AGRWTH","M","2022-03",6.771345,
"AUT","CPI","TOT","AGRWTH","M","2022-04",7.170923,
"AUT","CPI","TOT","AGRWTH","M","2022-05",7.737512,
"AUT","CPI","TOT","AGRWTH","M","2022-06",8.674464,
"AUT","CPI","TOT","AGRWTH","M","2022-07",9.426628,
"AUT","CPI","TOT","AGRWTH","M","2022-08",9.320389,
"BEL","CPI","TOT","AGRWTH","M","2019-10",0.4801034,
"BEL","CPI","TOT","AGRWTH","M","2019-11",0.3871681,
"BEL","CPI","TOT","AGRWTH","M","2019-12",0.7577158,
"BEL","CPI","TOT","AGRWTH","M","2020-01",1.405195,
"BEL","CPI","TOT","AGRWTH","M","2020-02",1.096572,
"BEL","CPI","TOT","AGRWTH","M","2020-03",0.6247129,
"BEL","CPI","TOT","AGRWTH","M","2020-04",0.5692774,
"BEL","CPI","TOT","AGRWTH","M","2020-05",0.4773708,
"BEL","CPI","TOT","AGRWTH","M","2020-06",0.5970423,
"BEL","CPI","TOT","AGRWTH","M","2020-07",0.7342144,
"BEL","CPI","TOT","AGRWTH","M","2020-08",0.8169635,
"BEL","CPI","TOT","AGRWTH","M","2020-09",0.9037256,
"BEL","CPI","TOT","AGRWTH","M","2020-10",0.74428,
"BEL","CPI","TOT","AGRWTH","M","2020-11",0.5142332,
"BEL","CPI","TOT","AGRWTH","M","2020-12",0.4126926,
"BEL","CPI","TOT","AGRWTH","M","2021-01",0.2552648,
"BEL","CPI","TOT","AGRWTH","M","2021-02",0.455747,
"BEL","CPI","TOT","AGRWTH","M","2021-03",0.8947321,
"BEL","CPI","TOT","AGRWTH","M","2021-04",1.232539,
"BEL","CPI","TOT","AGRWTH","M","2021-05",1.461855,
"BEL","CPI","TOT","AGRWTH","M","2021-06",1.625274,
"BEL","CPI","TOT","AGRWTH","M","2021-07",2.268586,
"BEL","CPI","TOT","AGRWTH","M","2021-08",2.731494,
"BEL","CPI","TOT","AGRWTH","M","2021-09",2.860537,
"BEL","CPI","TOT","AGRWTH","M","2021-10",4.159066,
"BEL","CPI","TOT","AGRWTH","M","2021-11",5.636762,
"BEL","CPI","TOT","AGRWTH","M","2021-12",5.708284,
"BEL","CPI","TOT","AGRWTH","M","2022-01",7.59298,
"BEL","CPI","TOT","AGRWTH","M","2022-02",8.039198,
"BEL","CPI","TOT","AGRWTH","M","2022-03",8.30694,
"BEL","CPI","TOT","AGRWTH","M","2022-04",8.306277,
"BEL","CPI","TOT","AGRWTH","M","2022-05",8.968933,
"BEL","CPI","TOT","AGRWTH","M","2022-06",9.649595,
"BEL","CPI","TOT","AGRWTH","M","2022-07",9.621381,
"BEL","CPI","TOT","AGRWTH","M","2022-08",9.944163,
"CAN","CPI","TOT","AGRWTH","M","2019-10",1.86428,
"CAN","CPI","TOT","AGRWTH","M","2019-11",2.172285,
"CAN","CPI","TOT","AGRWTH","M","2019-12",2.248876,
"CAN","CPI","TOT","AGRWTH","M","2020-01",2.39521,
"CAN","CPI","TOT","AGRWTH","M","2020-02",2.156134,
"CAN","CPI","TOT","AGRWTH","M","2020-03",0.886263,
"CAN","CPI","TOT","AGRWTH","M","2020-04",-0.2205882,
"CAN","CPI","TOT","AGRWTH","M","2020-05",-0.3660322,
"CAN","CPI","TOT","AGRWTH","M","2020-06",0.6603081,
"CAN","CPI","TOT","AGRWTH","M","2020-07",0.1459854,
"CAN","CPI","TOT","AGRWTH","M","2020-08",0.1461988,
"CAN","CPI","TOT","AGRWTH","M","2020-09",0.51395,
"CAN","CPI","TOT","AGRWTH","M","2020-10",0.658858,
"CAN","CPI","TOT","AGRWTH","M","2020-11",0.9530792,
"CAN","CPI","TOT","AGRWTH","M","2020-12",0.7331378,
"CAN","CPI","TOT","AGRWTH","M","2021-01",1.023392,
"CAN","CPI","TOT","AGRWTH","M","2021-02",1.091703,
"CAN","CPI","TOT","AGRWTH","M","2021-03",2.196193,
"CAN","CPI","TOT","AGRWTH","M","2021-04",3.389831,
"CAN","CPI","TOT","AGRWTH","M","2021-05",3.600294,
"CAN","CPI","TOT","AGRWTH","M","2021-06",3.061224,
"CAN","CPI","TOT","AGRWTH","M","2021-07",3.717201,
"CAN","CPI","TOT","AGRWTH","M","2021-08",4.087591,
"CAN","CPI","TOT","AGRWTH","M","2021-09",4.382761,
"CAN","CPI","TOT","AGRWTH","M","2021-10",4.654545,
"CAN","CPI","TOT","AGRWTH","M","2021-11",4.720407,
"CAN","CPI","TOT","AGRWTH","M","2021-12",4.803493,
"CAN","CPI","TOT","AGRWTH","M","2022-01",5.137482,
"CAN","CPI","TOT","AGRWTH","M","2022-02",5.687545,
"CAN","CPI","TOT","AGRWTH","M","2022-03",6.661891,
"CAN","CPI","TOT","AGRWTH","M","2022-04",6.771204,
"CAN","CPI","TOT","AGRWTH","M","2022-05",7.730496,
"CAN","CPI","TOT","AGRWTH","M","2022-06",8.132957,
"CAN","CPI","TOT","AGRWTH","M","2022-07",7.5896,
"CAN","CPI","TOT","AGRWTH","M","2022-08",7.012623,
"CZE","CPI","TOT","AGRWTH","M","2019-10",2.735849,
"CZE","CPI","TOT","AGRWTH","M","2019-11",3.116147,
"CZE","CPI","TOT","AGRWTH","M","2019-12",3.207547,
"CZE","CPI","TOT","AGRWTH","M","2020-01",3.641457,
"CZE","CPI","TOT","AGRWTH","M","2020-02",3.727866,
"CZE","CPI","TOT","AGRWTH","M","2020-03",3.44186,
"CZE","CPI","TOT","AGRWTH","M","2020-04",3.159851,
"CZE","CPI","TOT","AGRWTH","M","2020-05",2.862419,
"CZE","CPI","TOT","AGRWTH","M","2020-06",3.317972,
"CZE","CPI","TOT","AGRWTH","M","2020-07",3.397613,
"CZE","CPI","TOT","AGRWTH","M","2020-08",3.302752,
"CZE","CPI","TOT","AGRWTH","M","2020-09",3.228782,
"CZE","CPI","TOT","AGRWTH","M","2020-10",2.938476,
"CZE","CPI","TOT","AGRWTH","M","2020-11",2.655678,
"CZE","CPI","TOT","AGRWTH","M","2020-12",2.285192,
"CZE","CPI","TOT","AGRWTH","M","2021-01",2.162162,
"CZE","CPI","TOT","AGRWTH","M","2021-02",2.066487,
"CZE","CPI","TOT","AGRWTH","M","2021-03",2.33813,
"CZE","CPI","TOT","AGRWTH","M","2021-04",3.063063,
"CZE","CPI","TOT","AGRWTH","M","2021-05",2.872531,
